Date,Day,Description
15-Jan-26,Thursday,Municipal Corporation Election - Maharashtra
26-Jan-26,Monday,Republic Day
03-Mar-26,Tuesday,Holi
26-Mar-26,Thursday,Shri Ram Navami
31-Mar-26,Tuesday,Shri Mahavir Jayanti
03-Apr-26,Friday,Good Friday
14-Apr-26,Tuesday,Dr. Baba Saheb Ambedkar Jayanti
01-May-26,Friday,Maharashtra Day
28-May-26,Thursday,Bakri Id
26-Jun-26,Friday,Muharram
14-Sep-26,Monday,Ganesh Chaturthi
02-Oct-26,Friday,Mahatma Gandhi Jayanti
20-Oct-26,Tuesday,Dussehra
10-Nov-26,Tuesday,Diwali-Balipratipada
24-Nov-26,Tuesday,Prakash Gurpurb Sri Guru Nanak Dev
25-Dec-26,Friday,Christmas
