brokerIdentifier,equityDeliveryMin,equityDeliveryMax,equityIntradayMin,equityIntradayMax,equityFuturesMin,equityFuturesMax,equityOptions
ZERODHA,0,0,0.0003,20,0.0003,20,20
GROWW,0.0005,20,0.0005,20,0,20,20
UPSTOX,0.025,20,0.0005,20,0.0005,20,20
ANGELONE,0,0,0.0003,20,0.0003,20,20
DHAN,0,0,0.0003,20,0.0003,20,20
ICICIDIRECT,0.0055,-1,0.0005,-1,0.0005,-1,95
HDFCSEC,0.005,-1,0.0005,-1,0.0005,-1,100
KOTAKSEC,0.002,-1,0.0001,10,0.0001,10,10
SBISEC,0.005,-1,0.0005,-1,0.0005,-1,50
5PAISA,20,20,20,20,20,20,20
